tempat,deskripsi,kategori,gambar
Gunung Argopuro,"unung Argopuro adalah destinasi favorit bagi pecinta alam dan pendaki. Dengan ketinggian 3.088 mdpl, gunung ini menawarkan jalur pendakian yang menantang dan pemandangan alam yang memukau. Di puncaknya, wisatawan dapat menikmati panorama alam yang luas dan sejuk.",Alam,1.jpg
Gunung Papuma,Gunung Papuma terkenal dengan formasi batuannya yang unik dan pemandangan laut yang mempesona. Destinasi ini cocok untuk hiking ringan dan menikmati keindahan alam serta sunset yang indah di pantai.,Alam,2.jpg
Kebun Teh Gunung Gambir,"Kebun teh Gunung Gambir menawarkan suasana yang sejuk dengan pemandangan hamparan kebun teh yang hijau. Wisatawan dapat berjalan-jalan di kebun teh, mempelajari proses pembuatan teh, atau menikmati teh segar sambil menikmati udara segar pegunungan.",Alam,3.jpg
Air Terjun Tancak,Air Terjun Tancak adalah destinasi wisata alam yang menakjubkan dengan air terjun setinggi 50 meter. Keindahannya memikat para pengunjung untuk berfoto dan menikmati suasana alam yang asri.,Alam,4.jpg
Wisata Pinus Sidomulyo,"Wisata Pinus Sidomulyo menawarkan pesona hutan pinus yang asri dan sejuk. Tempat ini cocok untuk wisata keluarga, berkemah, atau sekedar menikmati ketenangan alam.",Alam,5.jpg
Teluk Love,"Teluk Love dikenal dengan bentuk teluk yang menyerupai hati, menjadi tempat yang romantis untuk menikmati pemandangan laut dan menikmati keindahan alam sekitar.",Alam,6.jpg
Trans Studio Mini,Trans Studio Mini adalah taman hiburan yang menawarkan berbagai wahana permainan seru untuk anak-anak dan keluarga. Tempat ini cocok untuk liburan yang menyenangkan dan penuh kegembiraan.,Theme Park,7.jpg
Gas Adventure Land,"Gas Adventure Land menyajikan berbagai wahana petualangan yang menantang bagi pengunjung yang suka tantangan, termasuk permainan off-road dan aktivitas outdoor lainnya.",Sport,8.jpg
Kidzoona Lipoo Plaza,"Kidzoona Lipoo Plaza adalah wahana permainan edukasi untuk anak-anak. Tempat ini menawarkan berbagai permainan yang mengembangkan kreativitas dan kemampuan motorik anak, cocok untuk liburan keluarga.",Theme Park,9.jpg
Jember Mini ZOO,Jember Mini ZOO adalah kebun binatang kecil yang menampilkan berbagai jenis hewan. Tempat ini memberikan edukasi tentang fauna sekaligus kesenangan bagi anak-anak yang ingin mengenal berbagai spesies hewan.,Theme Park,10.jpg
Gudeg Lumintu,"Gudeg Lumintu adalah tempat makan yang menyajikan gudeg khas Jember dengan cita rasa yang autentik. Gudeg ini terkenal dengan rasa manis dan gurih, cocok untuk pecinta kuliner tradisional.",Kuliner,11.jpg
Cafe Kolong,Cafe Kolong menawarkan suasana yang nyaman dengan menu makanan dan minuman yang menggugah selera. Tempat ini sangat cocok untuk bersantai atau berkumpul bersama teman.,Kuliner,12.jpg
Restoran Pawon Sari,"Restoran Pawon Sari menyajikan berbagai hidangan tradisional Jawa yang lezat. Dengan suasana yang cozy, restoran ini cocok untuk menikmati makan malam bersama keluarga.",Kuliner,13.jpg
Alun-alun Jember Foodcourt,Alun-alun Jember Foodcourt adalah pusat kuliner yang menyajikan berbagai makanan lokal dan internasional. Tempat ini menjadi pilihan tepat untuk menikmati berbagai hidangan dalam suasana yang ramai dan hidup.,Theme Park,14.jpg
Pura Mandara Giri Semeru Agung,"Pura Mandara Giri Semeru Agung adalah tempat ibadah yang indah dan tenang. Pura ini terletak di lereng Gunung Semeru, menawarkan kedamaian dan pemandangan yang menakjubkan.",Religi,15.jpg
Makam Habib Sholeh Tanggul,Makam Habib Sholeh Tanggul adalah tempat berziarah yang dihormati di Jember. Banyak pengunjung datang untuk berdoa dan menghormati salah satu tokoh penting di daerah ini.,Religi,16.jpg
Lippo Plaza,"Lippo Plaza adalah pusat perbelanjaan modern yang menawarkan berbagai kebutuhan, mulai dari fashion hingga elektronik. Tempat ini cocok untuk berbelanja dan bersantai.",Belanja,17.jpg
Jember Roxy Square,"Jember Roxy Square adalah pusat perbelanjaan yang lengkap dengan berbagai toko, restoran, dan tempat hiburan. Menjadi tempat yang cocok untuk berbelanja atau sekadar berjalan-jalan.",Theme Park,18.jpg
Makam KH Muhammad Shidiq,Makam KH Muhammad Shidiq adalah makam ulama yang dihormati di Jember. Tempat ini sering dikunjungi oleh para peziarah untuk berdoa dan mengenang jasa-jasa beliau.,Religi,19.jpg
Masjid Jami' Al-Baitul Amien,"Masjid Jami' Al-Baitul Amien adalah masjid besar yang terletak di pusat kota Jember. Masjid ini menjadi tempat ibadah utama di daerah ini, dengan arsitektur yang megah dan suasana yang tenang.",Religi,20.jpg
Masjid Muhammad Cheng Hoo,Masjid Muhammad Cheng Hoo merupakan masjid yang unik dengan arsitektur Tionghoa. Masjid ini menjadi simbol keberagaman dan toleransi di Jember.,Religi,21.jpg
Dira Kencong Shopping Center,"Dira Kencong Shopping Center adalah pusat perbelanjaan yang menawarkan berbagai macam produk, dari pakaian hingga peralatan rumah tangga. Tempat ini juga menjadi destinasi favorit bagi wisata belanja.",Belanja,22.jpg
Rumah Batik Rolla,Rumah Batik Rolla menawarkan berbagai produk batik dengan desain khas Jember. Wisatawan dapat membeli batik sebagai oleh-oleh atau bahkan belajar cara membatik di sini.,Belanja,23.jpg
Transmart Jember,"Transmart Jember adalah pusat perbelanjaan yang menggabungkan belanja, hiburan, dan kuliner. Tempat ini cocok untuk menghabiskan waktu bersama keluarga dan teman-teman.",Belanja,24.jpg
Jember Town Square,"Jember Town Square adalah pusat perbelanjaan yang memiliki berbagai pilihan toko dan restoran. Tempat ini menjadi pusat kegiatan di kota Jember, menawarkan beragam fasilitas untuk pengunjung.",Belanja,25.jpg